index,genres,id,original_language,title
0,Animation Comedy Family,862,en,Toy Story
1,Adventure Fantasy Family,8844,en,Jumanji
2,Romance Comedy,15602,en,Grumpier Old Men
3,Comedy Drama Romance,31357,en,Waiting to Exhale
4,Comedy,11862,en,Father of the Bride Part II
5,Action Crime Drama Thriller,949,en,Heat
6,Comedy Romance,11860,en,Sabrina
7,Action Adventure Drama Family,45325,en,Tom and Huck
8,Action Adventure Thriller,9091,en,Sudden Death
9,Adventure Action Thriller,710,en,GoldenEye
10,Comedy Drama Romance,9087,en,The American President
11,Comedy Horror,12110,en,Dracula: Dead and Loving It
12,Family Animation Adventure,21032,en,Balto
13,History Drama,10858,en,Nixon
14,Action Adventure,1408,en,Cutthroat Island
15,Drama Crime,524,en,Casino
16,Drama Romance,4584,en,Sense and Sensibility
17,Crime Comedy,5,en,Four Rooms
18,Crime Comedy Adventure,9273,en,Ace Ventura: When Nature Calls
19,Action Comedy Crime,11517,en,Money Train
20,Comedy Thriller Crime,8012,en,Get Shorty
21,Drama Thriller,1710,en,Copycat
22,Action Adventure Crime Thriller,9691,en,Assassins
23,Drama Fantasy Science Fiction Thriller,12665,en,Powder
24,Drama Romance,451,en,Leaving Las Vegas
25,Drama,16420,en,Othello
26,Comedy Drama Family,9263,en,Now and Then
27,Drama Romance,17015,en,Persuasion
28,Fantasy Science Fiction Adventure,902,fr,The City of Lost Children
29,Drama Crime,37557,zh,Shanghai Triad
30,Drama Crime,9909,en,Dangerous Minds
31,Science Fiction Thriller Mystery,63,en,Twelve Monkeys
32,Romance Adventure,78802,fr,Wings of Courage
33,Fantasy Drama Comedy Family,9598,en,Babe
34,History Drama Romance,47018,en,Carrington
35,Drama,687,en,Dead Man Walking
36,Adventure History Drama Family,139405,en,Across the Sea of Time
37,Comedy Family Romance,33689,en,It Takes Two
38,Comedy Drama Romance,9603,en,Clueless
39,Drama,34615,en,"Cry, the Beloved Country"
40,Drama War,31174,en,Richard III
41,Action Crime Drama History,11443,en,Dead Presidents
42,Drama Romance,35196,en,Restoration
43,Action Fantasy,9312,en,Mortal Kombat
44,Fantasy Drama Comedy Thriller,577,en,To Die For
45,Drama Romance,11861,en,How To Make An American Quilt
46,Crime Mystery Thriller,807,en,Se7en
47,Adventure Animation Drama Family,10530,en,Pocahontas
48,Drama Romance,8391,en,When Night Is Falling
49,Drama Crime Thriller,629,en,The Usual Suspects
50,Action Thriller Drama,117164,en,Guardian Angel
51,Comedy Romance,11448,en,Mighty Aphrodite
52,Drama Foreign,49133,it,Lamerica
53,Action Adventure Comedy Family,26441,en,The Big Green
54,Drama,97406,en,Georgia
55,,124057,en,Kids of the Round Table
56,Comedy Drama Romance,9089,en,Home for the Holidays
57,Comedy Drama Romance,11010,it,The Postman
58,Thriller Drama Mystery,99040,fr,The Confessional
59,Adventure Family Fantasy,11359,en,The Indian in the Cupboard
60,Drama Thriller,17182,en,Eye for an Eye
61,Music Drama Family,2054,en,Mr. Hollands Opus
62,Comedy,10607,en,Dont Be a Menace to South Central While Drinking Your Juice in the Hood
63,Comedy Romance,19760,en,Two If by Sea
64,Comedy,9536,en,Bio-Dome
65,Action Science Fiction,11525,en,Lawnmower Man 2: Beyond Cyberspace
66,Drama Family,40628,en,Two Bits
67,Comedy Romance,4482,fr,French Twist
68,Comedy,10634,en,Friday
69,Horror Action Thriller Crime,755,en,From Dusk Till Dawn
70,Action Thriller Romance,11859,en,Fair Game
71,Comedy Drama Romance,28387,en,Kicking and Screaming
72,Drama History,48750,fr,Les Miserables
73,Drama Romance,20927,en,Bed of Roses
74,Comedy Family,36929,en,Big Bully
75,Horror Science Fiction,9102,en,Screamers
76,Documentary,124626,en,Nico Icon
77,Drama Thriller,27526,en,The Crossing Guard
78,Drama Thriller,9623,en,The Juror
79,Family Drama,46785,fa,The White Balloon
80,Drama Crime,400,en,Things to Do in Denver When Youre Dead
81,Drama Comedy,880,nl,Antonias Line
82,Romance Drama,146599,en,Once Upon a Time... When We Were Colored
83,,188588,en,Last Summer in the Hamptons
84,Drama Romance,8447,en,Angels and Insects
85,Action Drama,10534,en,White Squall
86,Adventure Comedy Family,17414,en,Dunston Checks In
87,Comedy,13997,en,Black Sheep
88,Crime Drama Thriller,2086,en,Nick of Time
89,Drama,61548,en,The Journey of August King
90,Drama Horror Thriller Romance,9095,en,Mary Reilly
91,Comedy Horror Romance,12158,en,Vampire in Brooklyn
92,Comedy Drama Romance,9283,en,Beautiful Girls
93,Action Adventure Drama Thriller,9208,en,Broken Arrow
94,Comedy,40154,en,A Midwinters Tale
95,Drama,406,fr,La Haine
96,Action Adventure Drama Science Fiction Thriller,45549,en,Shopping
97,Documentary,63076,en,Heidi Fleiss: Hollywood Madam
98,Drama Thriller,11062,en,City Hall
99,Comedy Crime Drama,13685,en,Bottle Rocket
100,Comedy Romance,47475,en,Mr. Wrong
101,Drama Mystery Science Fiction Thriller,2045,en,Unforgettable
102,Comedy,9614,en,Happy Gilmore
103,Drama Romance,688,en,The Bridges of Madison County
104,Drama Comedy Family,11907,de,Nobody Loves Me
105,Action Comedy Music Family Adventure,10874,en,Muppet Treasure Island
106,Documentary,89333,en,Catwalk
107,Crime,96357,en,Headless Body in Topless Bar
108,Action Drama History War,197,en,Braveheart
109,Crime Drama,103,en,Taxi Driver
110,Crime Action Comedy Thriller,33542,cn,Rumble in the Bronx
111,Drama Thriller,43566,en,Before and After
112,Drama,71754,en,Margarets Museum
113,Comedy,43612,en,Happiness Is in the Field
114,Documentary Drama Foreign,51352,en,Anne Frank Remembered
115,Comedy Crime Drama,16934,en,The Young Poisoners Handbook
116,Comedy Romance,10324,en,If Lucy Fell
117,Comedy Drama,78406,en,Steal Big Steal Little
118,Action Adventure Comedy Drama Family,55731,en,Race the Sun
119,Drama,32119,en,The Boys of St. Vincent
120,Comedy Romance,11066,en,Boomerang
121,Drama Comedy Romance,11104,cn,Chungking Express
122,Drama Romance,37975,it,The Star Maker
123,Comedy Romance,2074,en,Flirting with Disaster
124,Fantasy,27793,en,The Neverending Story III: Escape from Fantasia
125,Drama,44284,ar,The Silences of the Palace
126,,290157,en,Jupiters Wife
127,Comedy Romance,110972,en,Pie in the Sky
128,Comedy Drama,32622,en,Angela
129,Drama Romance War,73067,it,Frankie Starlight
130,Action Thriller Mystery Romance,11863,en,Jade
